z	d_D[Gpc]	err_d_A_plus	err_d_A_min
0.541	1.38	0.22	0.22
0.255	0.63	0.16	0.19
0.230	0.60	0.11	0.09
0.375	1.08	0.19	0.20
0.550	1.42	0.26	0.23
0.584	0.77	0.21	0.18
0.171	0.52	0.15	0.12
0.686	1.68	0.48	0.38
0.288	0.78	0.18	0.18
0.182	0.66	0.09	0.10
0.282	0.88	0.30	0.23
0.217	0.98	0.17	0.14
0.291	0.83	0.02	0.02
0.826	1.33	0.28	0.26
0.784	2.85	0.52	0.63
0.544	0.80	0.19	0.16
0.142	0.78	0.18	0.13
0.890	1.08	0.42	0.28
0.490	1.38	0.47	0.37
0.183	0.65	0.09	0.09
0.451	0.96	0.06	0.08
0.327	1.13	0.09	0.10
0.252	1.07	0.02	0.08
0.545	1.49	0.06	0.03
0.171	0.44	0.04	0.05
0.322	1.19	0.15	0.14
0.229	0.64	0.20	0.17
0.202	0.52	0.04	0.05	
0.151	0.61	0.06	0.07
0.176	0.66	0.14	0.11
0.813	1.04	0.51	0.43
0.164	0.58	0.29	0.25
0.224	0.73	0.20	0.13
0.583	2.48	0.41	0.44
0.570	1.33	0.37	0.28
0.235	0.46	0.11	0.08
0.483	1.44	0.27	0.23
0.412	1.22	0.24	0.23
