z	d_A[Mpc]	err_d_A
0.784	2479	1023
0.550	1073	238
0.546	1635	391
0.451	1166	262
0.374	1231	441
0.327	697	183
0.322	885 	207
0.288	934	331
0.282	1099	308
0.252	946	131
0.224	1118	283
0.216	1465	407
0.202	806	163
0.202	387	141
0.183	604	84
0.182	451	189
0.171	809	263
0.142	478	126
0.091	335	70
0.088	448	185
0.084	749	385
0.074	369	62
0.072	165	45
0.058	242	61
0.023	103	42
0.541	1380	0.22
0.255	0630	0.16
0.230	0600	0.11
0.375	1080	0.19
0.550	1420	0.26
0.584	0770	0.21
0.171	0520	0.15
0.686	1680	0.48
0.288	0780	0.18
0.182	0660	0.09
0.282	0880	0.30
0.217	0980	0.17
0.291	0830	0.02
0.826	1330	0.28
0.784	2850	0.52
0.544	0800	0.19
0.142	0780	0.18
0.890	1080	0.42
0.490	1380	0.47
0.183	0650	0.09
0.451	0960	0.06
0.327	1130	0.09
0.252	1070	0.02
0.545	1490	0.06
0.171	0440	0.04
0.322	1190	0.15
0.229	0640	0.20
0.202	0520	0.04	
0.151	0610	0.06
0.176	0660	0.14
0.813	1040	0.51
0.164	0580	0.29
0.224	0730	0.20
0.583	2480	0.41
0.570	1330	0.37
0.235	0460	0.11
0.483	1440	0.27
0.412	1220	0.24
